,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.322,0.146,0.078,0.554,0.005,0.337,0.051,0.511,0.273,0.432,0.588,0.539,0.109,0.18,0.039,0.597,0.016,0.036,0.369,0.051,0.209,0.465,0.742
1,0.322,1.0,0.628,0.141,0.492,0.318,0.793,0.057,0.152,0.116,0.942,0.013,0.569,0.504,0.192,0.587,0.596,0.283,0.242,0.102,0.01,0.85,0.009,0.693
2,0.146,0.628,1.0,0.367,0.515,0.542,0.35,0.042,0.035,0.409,0.416,0.105,0.633,0.977,0.091,0.706,0.238,0.569,0.307,0.354,0.193,0.903,0.098,0.221
3,0.078,0.141,0.367,1.0,0.558,0.607,0.104,0.522,0.336,0.654,0.118,0.056,0.464,0.468,0.681,0.326,0.017,0.56,0.824,0.618,0.659,0.259,0.387,0.122
4,0.554,0.492,0.515,0.558,1.0,0.383,0.412,0.288,0.596,0.743,0.502,0.401,0.966,0.53,0.571,0.326,0.334,0.395,0.492,0.748,0.361,0.525,0.565,0.512
5,0.005,0.318,0.542,0.607,0.383,1.0,0.09,0.392,0.154,0.353,0.193,0.021,0.396,0.626,0.453,0.618,0.008,0.975,0.841,0.241,0.29,0.37,0.089,0.069
6,0.337,0.793,0.35,0.104,0.412,0.09,1.0,0.003,0.023,0.097,0.895,0.058,0.434,0.263,0.033,0.37,0.724,0.055,0.098,0.125,0.016,0.673,0.058,0.78
7,0.051,0.057,0.042,0.522,0.288,0.392,0.003,1.0,0.342,0.622,0.049,0.232,0.279,0.113,0.71,0.009,0.025,0.445,0.641,0.517,0.907,0.018,0.244,0.024
8,0.511,0.152,0.035,0.336,0.596,0.154,0.023,0.342,1.0,0.559,0.172,0.635,0.486,0.077,0.754,0.011,0.146,0.153,0.304,0.713,0.343,0.016,0.891,0.293
9,0.273,0.116,0.409,0.654,0.743,0.353,0.097,0.622,0.559,1.0,0.082,0.474,0.698,0.504,0.619,0.155,0.064,0.39,0.506,0.948,0.776,0.298,0.618,0.127
10,0.432,0.942,0.416,0.118,0.502,0.193,0.895,0.049,0.172,0.082,1.0,0.029,0.53,0.33,0.172,0.44,0.763,0.166,0.189,0.101,0.005,0.728,0.031,0.861
11,0.588,0.013,0.105,0.056,0.401,0.021,0.058,0.232,0.635,0.474,0.029,1.0,0.362,0.125,0.216,0.006,0.036,0.044,0.024,0.612,0.319,0.076,0.738,0.128
12,0.539,0.569,0.633,0.464,0.966,0.396,0.434,0.279,0.486,0.698,0.53,0.362,1.0,0.645,0.472,0.311,0.395,0.434,0.462,0.683,0.301,0.627,0.426,0.53
13,0.109,0.504,0.977,0.468,0.53,0.626,0.263,0.113,0.077,0.504,0.33,0.125,0.645,1.0,0.133,0.673,0.19,0.658,0.386,0.383,0.236,0.776,0.103,0.138
14,0.18,0.192,0.091,0.681,0.571,0.453,0.033,0.71,0.754,0.619,0.172,0.216,0.472,0.133,1.0,0.059,0.062,0.401,0.748,0.64,0.605,0.05,0.653,0.199
15,0.039,0.587,0.706,0.326,0.326,0.618,0.37,0.009,0.011,0.155,0.44,0.006,0.311,0.673,0.059,1.0,0.056,0.559,0.305,0.157,0.055,0.665,0.019,0.222
16,0.597,0.596,0.238,0.017,0.334,0.008,0.724,0.025,0.146,0.064,0.763,0.036,0.395,0.19,0.062,0.056,1.0,0.045,0.012,0.088,0.005,0.408,0.032,0.87
17,0.016,0.283,0.569,0.56,0.395,0.975,0.055,0.445,0.153,0.39,0.166,0.044,0.434,0.658,0.401,0.559,0.045,1.0,0.807,0.236,0.342,0.378,0.066,0.032
18,0.036,0.242,0.307,0.824,0.492,0.841,0.098,0.641,0.304,0.506,0.189,0.024,0.462,0.386,0.748,0.305,0.012,0.807,1.0,0.407,0.558,0.207,0.257,0.131
19,0.369,0.102,0.354,0.618,0.748,0.241,0.125,0.517,0.713,0.948,0.101,0.612,0.683,0.383,0.64,0.157,0.088,0.236,0.407,1.0,0.6,0.257,0.817,0.197
20,0.051,0.01,0.193,0.659,0.361,0.29,0.016,0.907,0.343,0.776,0.005,0.319,0.301,0.236,0.605,0.055,0.005,0.342,0.558,0.6,1.0,0.083,0.296,0.01
21,0.209,0.85,0.903,0.259,0.525,0.37,0.673,0.018,0.016,0.298,0.728,0.076,0.627,0.776,0.05,0.665,0.408,0.378,0.207,0.257,0.083,1.0,0.07,0.443
22,0.465,0.009,0.098,0.387,0.565,0.089,0.058,0.244,0.891,0.618,0.031,0.738,0.426,0.103,0.653,0.019,0.032,0.066,0.257,0.817,0.296,0.07,1.0,0.133
23,0.742,0.693,0.221,0.122,0.512,0.069,0.78,0.024,0.293,0.127,0.861,0.128,0.53,0.138,0.199,0.222,0.87,0.032,0.131,0.197,0.01,0.443,0.133,1.0
