N,dim,featuremap,expressivity,accuracy,balanced_accuracy,f1,cv_balanced_accuracy,circuit_depth,two_qubit_gates
64,5,z_feature_map,0.046553464988243254,0.1875,0.21428571428571427,0.3157894736842105,0.43571428571428567,4,0
48,4,zz_feature_map,0.08378109173760946,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.495,16,8
48,4,custom_q_kernel,0.1608849502572841,0.9166666666666666,0.9,0.8888888888888888,0.555,25,4
48,6,pauli_feature_map,0.036322359197085534,0.4166666666666667,0.41428571428571426,0.36363636363636365,0.625,24,12
24,2,pauli_feature_map,0.29306076803375164,0.5,0.625,0.4,0.4333333333333333,9,2
16,2,zz_feature_map,0.3111371240302687,0.75,0.8333333333333333,0.6666666666666666,0.65,7,2
40,2,custom_q_kernel,0.37964429262983834,0.9,0.875,0.8571428571428571,0.6116666666666667,6,1
72,2,z_feature_map,0.2551729914975846,0.3888888888888889,0.375,0.26666666666666666,0.43392857142857144,4,0
64,2,efficient_su2,0.5750017430398515,0.4375,0.5,0.6086956521739131,0.44523809523809527,10,0
