N,dim,featuremap,expressivity,accuracy,balanced_accuracy,f1,cv_balanced_accuracy,circuit_depth,two_qubit_gates,modelo,accuracy_std,balanced_accuracy_std,f1_std,cv_balanced_accuracy_std
64,5,z_feature_map,0.046553464988243254,0.1875,0.21428571428571427,0.3157894736842105,0.43571428571428567,4.0,0.0,QSVM,,,,
48,4,zz_feature_map,0.08378109173760946,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.495,16.0,8.0,QSVM,,,,
48,4,custom_q_kernel,0.1608849502572841,0.9166666666666666,0.9,0.8888888888888888,0.555,25.0,4.0,QSVM,,,,
48,6,pauli_feature_map,0.036322359197085534,0.4166666666666667,0.41428571428571426,0.36363636363636365,0.625,24.0,12.0,QSVM,,,,
24,2,pauli_feature_map,0.29306076803375164,0.5,0.625,0.4,0.4333333333333333,9.0,2.0,QSVM,,,,
16,2,zz_feature_map,0.3111371240302687,0.75,0.8333333333333333,0.6666666666666666,0.65,7.0,2.0,QSVM,,,,
40,2,custom_q_kernel,0.37964429262983834,0.9,0.875,0.8571428571428571,0.6116666666666667,6.0,1.0,QSVM,,,,
72,2,z_feature_map,0.2551729914975846,0.3888888888888889,0.375,0.26666666666666666,0.43392857142857144,4.0,0.0,QSVM,,,,
64,2,efficient_su2,0.5750017430398515,0.4375,0.5,0.6086956521739131,0.44523809523809527,10.0,0.0,QSVM,,,,
3276,9,SVM_RBF_sklearn,,0.6122967479674797,0.6061458333333333,0.5372877061598773,0.6324441792448304,,,SVM clásica,0.003520428470668453,0.008155117458087818,0.019721565944008035,0.007629183725330979
